,169.254.170.2_remote,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,DynamoDB_AWS::DynamoDB,Evidently_AWS::Evidently,PGSQL Query_remote,PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,PetSearch_AWS::ECS::Fargate,PetSearch_client,PetSite,SSM_AWS::SSM,STS_AWS::STS,SimpleNotificationService_AWS::SimpleNotificationService,SimpleSystemsManagement_AWS::SimpleSystemsManagement,StepFnStateMachine76D362E8-T67Tg48ke8oK_client,amazon.com_remote,lambda_step_priceGreaterThan55,lambda_step_priceGreaterThan55_AWS::Lambda,lambda_step_priceGreaterThan55_AWS::Lambda::Function,lambda_step_priceLessThan55,lambda_step_priceLessThan55_AWS::Lambda,lambda_step_priceLessThan55_AWS::Lambda::Function,lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda,lambda_step_readDDB_AWS::Lambda::Function,lambdastatusupdater_AWS::Lambda,lambdastatusupdater_AWS::Lambda::Function,payforadoption_AWS::ECS::Container,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,petlistadoptions_client,www.amazon.com_remote,S3_AWS::S3,invalid_AWS::DynamoDB::Table,payforadoption_client,StepFunctions_AWS::StepFunctions,Servi-searc.us-west-2.elb.amazonaws.com_remote,AWS::StepFunctions::StateMachine,adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,execute-api.us-west-2.amazonaws.com_remote,https://sqs.us-west-2.amazonaws.com/Services-sqspetadoption_AWS::SQS::Queue,servi-lista.us-west-2.elb.amazonaws.com_remote,servi-petsi.us-west-2.elb.amazonaws.com_remote,servi-searc.us-west-2.elb.amazonaws.com_remote,servi-payfo.us-west-2.elb.amazonaws.com_remote
169.254.170.2_remote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DynamoDB_AWS::DynamoDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evidently_AWS::Evidently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGSQL Query_remote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PetSearch_AWS::ECS::Fargate,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PetSearch_client,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PetSite,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SSM_AWS::SSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
